Model	Latitude	Longitude
BCC-CSM2-MR	1.121277	1.125
CanESM5	2.789327	2.8125
CESM2	0.9424084	1.25
CESM2-WACCM	0.9424084	1.25
CNRM-CM6-1	1.400437	1.40625
CNRM-ESM2-1	1.400437	1.40625
EC-Earth3	0.7016692	0.703125
EC-Earth3-Veg	0.7016692	0.703125
GFDL-CM4	1	1.25
IPSL-CM6A-LR	1.267606	2.5
MIROC6	1.400437	1.40625
MRI-ESM2-0	1.121277	1.125
UKESM1-0-LL	1.25	1.875
